"","u","s","m","l","lum"
"M1_DF_DARK_012_K176784_P4",0.00146063698179666,0.000817762175539861,0.00204404304320471,0.00227588995533933,0.00183199354791635
"M1_DF_DARK_012_K176785_P1",0.0031182743413663,0.00226865207338861,0.003858721581387,0.00388858900075079,0.0035155215659748
"M1_DF_DARK_012_K176785_P2",0.0023344625589627,0.00116527831842178,0.00445403183952875,0.00475865083528448,0.00379237233142396
"M1_DF_DARK_012_K176785_P3",0.00134394883943906,0.000591602855799728,0.00332768212265899,0.00373817133034455,0.00280425121815373
"M1_DF_DARK_012_K176785_P4",0.00125264098277662,0.000691235990287446,0.00174028041205158,0.00200657663802673,0.0015771265122124
"M1_DF_DARK_012_K176786_P1",0.00335046065975556,0.00276607658571074,0.00434081614450391,0.0045361230449602,0.00403585172793727
"M1_DF_DARK_012_K176786_P2",0.00250580798232544,0.00145551234193044,0.00440726027945146,0.0047732089455508,0.00384022903740736
"M1_DF_DARK_012_K176786_P3",0.00224558779298251,0.00104766285152228,0.00402594723058122,0.00422958225120917,0.00341016913631255
"M1_DF_DARK_012_K176786_P4",0.00110966447290975,0.000536497141839568,0.00147093988075127,0.00171977412329186,0.00133345736173144
"M1_DF_DARK_012_K176787_P1",0.00329228892974916,0.00258980558106389,0.00411262971383176,0.00426286617296505,0.00381344808980104
"M1_DF_DARK_012_K176787_P2",0.00252923709556649,0.00141729987063855,0.00465828866855965,0.00499553083597034,0.0040206339441919
"M1_DF_DARK_012_K176787_P3",0.00201345302681587,0.000903515071837723,0.00399816679893663,0.00431262022652628,0.00338172385669333
"M1_DF_DARK_012_K176787_P4",0.00149319999784549,0.000775618755191834,0.00204704987998199,0.00223407645099866,0.00181746068446059
"M1_DF_DARK_012_K176788_P1",0.00253684895877466,0.00195926101879703,0.00322981626873454,0.00336393160934913,0.00298323914720985
"M1_DF_DARK_012_K176788_P2",0.00179432815369356,0.000967839452737991,0.00334817014696104,0.00372111992152078,0.00290263189110353
"M1_DF_DARK_012_K176788_P3",0.00165841110072867,0.000862296551800353,0.00313046644060878,0.00340569375960706,0.00267997197495294
"M1_DF_DARK_012_K176788_P4",0.00107803582636587,0.000505186534647251,0.0014604833742427,0.00164168344781937,0.00129817919185666
"M1_DF_DARK_012_K176789_P1",0.00255975573034535,0.00201682202732922,0.00328739415687369,0.00348889210532763,0.00306052592168314
"M1_DF_DARK_012_K176789_P2",0.00175007757093214,0.000934019482798302,0.00361538660285464,0.00401675451218704,0.00311185552491839
"M1_DF_DARK_012_K176789_P3",0.00165087297365714,0.00091132673536177,0.00356595347657465,0.00405119398319794,0.00309105904545824
"M1_DF_DARK_012_K176789_P4",0.00146091461998543,0.000825069951688228,0.00194644354800076,0.00220885442912001,0.00176940659879277
"M1_DF_DARK_012_K176790_P1",0.00296279903874285,0.0023716145730346,0.00372850546934014,0.0037917064612179,0.00343912161788516
"M1_DF_DARK_012_K176790_P2",0.00212857826333588,0.00122144648518134,0.00394891894174735,0.00425898060169755,0.00341448491790509
"M1_DF_DARK_012_K176790_P3",0.00140657530581031,0.000609459444937041,0.00328715567740814,0.00370069562775979,0.00277823086044059
"M1_DF_DARK_012_K176790_P4",0.00166740477045096,0.00099296714845835,0.00213624798691986,0.00236809667976521,0.00194649681988733
"M1_DF_DARK_012_K176791_P1",0.00301063175823747,0.00227572029676008,0.00378599519928615,0.00390174131612009,0.00348003702873347
"M1_DF_DARK_012_K176791_P2",0.00224032981759226,0.00128431271815502,0.00410264104826281,0.00453713334334506,0.0035765454896583
"M1_DF_DARK_012_K176791_P3",0.00156335009283775,0.000742213654833335,0.00327684919473242,0.00366142838550805,0.00280389712284754
"M1_DF_DARK_012_K176791_P4",0.00138139973936411,0.000809723690033103,0.00187148588424586,0.00215583753524003,0.00171120283398877
"M1_DF_DARK_012_K176792_P1",0.00283628154230023,0.00220615270386077,0.00360644544589141,0.0037783345630469,0.00333992144465618
"M1_DF_DARK_012_K176792_P2",0.00111119833730196,0.000423203353939181,0.00288569025059414,0.00328347316877284,0.00242203970454572
"M1_DF_DARK_012_K176792_P3",0.00245663185467833,0.00117132098851332,0.0043888340409283,0.00474057538701747,0.00376529162016373
"M1_DF_DARK_012_K176792_P4",0.00139538635817133,0.000832583890350915,0.00193175362599337,0.00227187003970679,0.00177663661574275
"M1_DF_DARK_012_K176793_P1",0.00242377144286968,0.00174128331272398,0.00297670219040375,0.00303815582884995,0.00272036254461162
"M1_DF_DARK_012_K176793_P2",0.00127642103533152,0.000601835439871145,0.00289379107570725,0.0033128465940377,0.00247224860436918
"M1_DF_DARK_012_K176793_P3",0.00160038270249131,0.00071127217345861,0.00340221644668558,0.00373228122978719,0.00286948601281436
"M1_DF_DARK_012_K176793_P4",0.00149449883573324,0.000819987512117491,0.00192263342105792,0.00230526141998317,0.00178178716889999
"M1_DF_DARK_022_K176580_P1",0.00328021786484863,0.00255167049219261,0.00427626460392276,0.00433203889541469,0.0039068110781775
"M1_DF_DARK_022_K176580_P2",0.00273674413175972,0.00164036837301736,0.00480719232012293,0.00504468422720601,0.00414419348080637
"M1_DF_DARK_022_K176580_P3",0.00195631829376568,0.000928485345027281,0.00396304809103425,0.00429934171335599,0.00335697133905661
"M1_DF_DARK_022_K176580_P4",0.00134256376613561,0.000742571653224373,0.00192023052304319,0.00209744852527946,0.00170478622047258
"M1_DF_DARK_022_K176581_P1",0.00265956574775891,0.00218051437193674,0.00374692438057632,0.00381480324716694,0.00341183160115387
"M1_DF_DARK_022_K176581_P2",0.00243896102109654,0.00174381310307407,0.00474584818569407,0.00503156375189562,0.00412382000548885
"M1_DF_DARK_022_K176581_P3",0.00185010067133579,0.00102566180741263,0.00394529106470549,0.00424498526758249,0.00334679802122747
"M1_DF_DARK_022_K176581_P4",0.00188035914435776,0.00124812280959373,0.00250381676973632,0.00268579406413759,0.002270076849266
"M1_DF_DARK_022_K176582_P1",0.00300342926380566,0.00252064851695591,0.00406587364499931,0.00413603144032886,0.00373674957461661
"M1_DF_DARK_022_K176582_P2",0.00158955645345904,0.000960687248448595,0.0033618899802238,0.00358523317557591,0.0028641003334682
"M1_DF_DARK_022_K176582_P3",0.00150854108128843,0.000701426565038153,0.00332908763495225,0.00353455963970261,0.00277781287307011
"M1_DF_DARK_022_K176582_P4",0.00124278342496103,0.000661116114011991,0.00163317456535956,0.00172089299417226,0.00144399204577589
"M1_DF_DARK_022_K176583_P1",0.00349714181713505,0.00292440923464743,0.00466953730231601,0.00466526376352232,0.00427451377939248
"M1_DF_DARK_022_K176583_P2",0.00232287403439382,0.00135872321659245,0.00439420808251806,0.00453578743376019,0.00374341111732209
